"tcin","type","id","gtin","sort_by","search_term","category_id","url","customer_zipcode","page","max_page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "88283038","product",,,,,,,,,,,,,,,,,
 "13010410","product",,,,,,,,,,,,,,,,,
 "17016217","product",,,,,,,,,,,,,,,,,
 "53463034","product",,,,,,,,,,,,,,,,,
 "17016218","product",,,,,,,,,,,,,,,,,
 "14901847","product",,,,,,,,,,,,,,,,,
 "78795243","product",,,,,,,,,,,,,,,,,
 "53287116","product",,,,,,,,,,,,,,,,,
 "88257569","product",,,,,,,,,,,,,,,,,
 "53035247","product",,,,,,,,,,,,,,,,,
 "85871439","product",,,,,,,,,,,,,,,,,
 "14895483","product",,,,,,,,,,,,,,,,,
 "14895482","product",,,,,,,,,,,,,,,,,
 "53035246","product",,,,,,,,,,,,,,,,,
 "88240809","product",,,,,,,,,,,,,,,,,
 "15346171","product",,,,,,,,,,,,,,,,,
 "86461967","product",,,,,,,,,,,,,,,,,
 "88708187","product",,,,,,,,,,,,,,,,,
 "14895488","product",,,,,,,,,,,,,,,,,
 "85871462","product",,,,,,,,,,,,,,,,,
 "54538348","product",,,,,,,,,,,,,,,,,
 "15346172","product",,,,,,,,,,,,,,,,,
 "53619792","product",,,,,,,,,,,,,,,,,
 "86013548","product",,,,,,,,,,,,,,,,,
 "12955073","product",,,,,,,,,,,,,,,,,
 "82139407","product",,,,,,,,,,,,,,,,,
 "54581357","product",,,,,,,,,,,,,,,,,
 "14895486","product",,,,,,,,,,,,,,,,,
 "88182352","product",,,,,,,,,,,,,,,,,
 "90209877","product",,,,,,,,,,,,,,,,,
 "14770371","product",,,,,,,,,,,,,,,,,
 "88182313","product",,,,,,,,,,,,,,,,,
 "50254729","product",,,,,,,,,,,,,,,,,
 "85871464","product",,,,,,,,,,,,,,,,,
 "83966199","product",,,,,,,,,,,,,,,,,
 "85871285","product",,,,,,,,,,,,,,,,,
 "13382834","product",,,,,,,,,,,,,,,,,
 "12959582","product",,,,,,,,,,,,,,,,,
 "12935984","product",,,,,,,,,,,,,,,,,
 "50542184","product",,,,,,,,,,,,,,,,,
 "13244924","product",,,,,,,,,,,,,,,,,
 "79580906","product",,,,,,,,,,,,,,,,,
 "52030819","product",,,,,,,,,,,,,,,,,
 "13382835","product",,,,,,,,,,,,,,,,,
