"category_id","type","max_page","id","tcin","gtin","sort_by","search_term","url","customer_zipcode","page","delivery_type","include_out_of_stock","facets","reviewer_type","review_stars","review_media_type","store_stock_zipcode","only_in_stock"
 "wa68u","category",100,,,,,,,,,,,,,,,,
 "pcrow","category",100,,,,,,,,,,,,,,,,
 "xad8e","category",100,,,,,,,,,,,,,,,,
 "iuzzq","category",100,,,,,,,,,,,,,,,,
 "zuvdm","category",100,,,,,,,,,,,,,,,,
 "jzs0k","category",100,,,,,,,,,,,,,,,,
 "e93q4","category",100,,,,,,,,,,,,,,,,
 "etl5c","category",100,,,,,,,,,,,,,,,,
 "hs27v","category",100,,,,,,,,,,,,,,,,
 "yw4g2","category",100,,,,,,,,,,,,,,,,
 "n14zs","category",100,,,,,,,,,,,,,,,,
 "ib1kc","category",100,,,,,,,,,,,,,,,,
 "8omml","category",100,,,,,,,,,,,,,,,,
 "a3x8v","category",100,,,,,,,,,,,,,,,,
 "xmj0e","category",100,,,,,,,,,,,,,,,,
 "6xer1","category",100,,,,,,,,,,,,,,,,
 "6dlai","category",100,,,,,,,,,,,,,,,,
 "zkhii","category",100,,,,,,,,,,,,,,,,
